"","Dataset","Method","Algorithm","F1","Acc"
"581",55,"missForest","xgb",0.444444444444444,0.838709677419355
"59",55,"mice","xgb",0.666666666666667,0.903225806451613
"601",55,"VIM","xgb",0.4,0.806451612903226
"611",56,"median","xgb",0.97029702970297,0.96551724137931
"621",56,"missmda","xgb",0.97029702970297,0.96551724137931
"63",56,"missForest","xgb",0.951456310679612,0.942528735632184
"641",56,"mice","xgb",0.96,0.954022988505747
"651",6332,"median","xgb",0.549450549450549,0.62037037037037
"661",6332,"softimpute","xgb",0.571428571428572,0.694444444444444
"67",6332,"missmda","xgb",0.51219512195122,0.62962962962963
"681",6332,"missForest","xgb",0.639175257731959,0.675925925925926
"691",6332,"mice","xgb",0.660194174757282,0.675925925925926
"701",944,"median","xgb",0.714285714285714,0.692307692307692
"71",944,"softimpute","xgb",0.8125,0.769230769230769
"721",944,"missmda","xgb",0.733333333333333,0.692307692307692
"731",944,"missForest","xgb",0.769230769230769,0.769230769230769
"741",944,"mice","xgb",0.666666666666667,0.653846153846154
"75",944,"VIM","xgb",0.571428571428571,0.653846153846154
